humidite_sol,temperature_air,humidite_air,pluie_prevue_mm,type_sol,type_culture,besoin_arrosage,quantite_eau_litres_m2
50.6,30.0,49.2,2.6,Argileux,Céréales,1,4.48
7.3,27.2,42.2,1.0,Sableux,Maraîchage,1,12.23
29.3,20.6,44.9,4.5,Sableux,Arboriculture,0,0.0
62.0,39.0,86.4,2.1,Argileux,Arboriculture,0,0.0
38.8,23.5,60.5,0.9,Sableux,Arboriculture,0,0.0
33.7,31.4,58.1,3.8,Argileux,Maraîchage,1,8.66
75.8,9.1,50.3,7.1,Sableux,Maraîchage,0,0.0
22.0,34.9,99.0,6.8,Argileux,Arboriculture,0,0.0
27.4,36.3,78.5,11.4,Sableux,Céréales,0,0.0
49.7,26.2,42.0,3.5,Limoneux,Arboriculture,0,0.0
53.6,29.9,50.1,2.8,Limoneux,Céréales,0,0.0
55.9,29.9,51.1,0.2,Sableux,Céréales,0,0.0
65.0,21.5,57.6,0.8,Limoneux,Céréales,0,0.0
49.4,29.8,42.4,1.1,Limoneux,Arboriculture,1,9.24
55.8,20.3,62.9,2.3,Argileux,Céréales,0,0.0
39.3,21.7,81.1,5.2,Argileux,Arboriculture,0,0.0
46.4,33.9,31.4,1.8,Limoneux,Maraîchage,1,8.49
47.4,32.8,34.7,0.9,Limoneux,Céréales,0,0.0
49.7,21.1,46.3,1.5,Limoneux,Arboriculture,0,0.0
62.0,20.9,47.1,0.1,Limoneux,Arboriculture,1,8.0
57.2,21.5,91.0,0.9,Argileux,Arboriculture,0,0.0
46.0,31.1,73.0,0.1,Sableux,Maraîchage,1,6.0
27.2,19.0,72.0,2.2,Sableux,Arboriculture,1,8.0
46.5,28.5,50.2,7.9,Limoneux,Arboriculture,0,0.0
44.4,31.2,49.8,1.6,Sableux,Arboriculture,1,8.12
49.2,25.4,28.9,4.2,Sableux,Maraîchage,1,6.0
93.5,33.1,69.1,3.5,Sableux,Arboriculture,0,0.0
33.5,23.9,63.8,2.9,Argileux,Arboriculture,1,9.8
54.3,24.5,78.1,5.4,Argileux,Arboriculture,0,0.0
68.5,19.2,51.2,2.5,Argileux,Maraîchage,0,0.0
47.2,33.1,52.4,2.9,Limoneux,Arboriculture,0,0.0
96.4,20.6,58.1,1.2,Argileux,Maraîchage,0,0.0
36.7,28.4,71.1,4.1,Sableux,Céréales,1,4.0
52.1,25.5,28.5,0.6,Argileux,Céréales,0,0.0
27.4,18.6,68.2,3.8,Limoneux,Céréales,1,4.0
37.3,21.7,54.6,11.5,Argileux,Arboriculture,0,0.0
50.5,35.7,35.9,0.9,Sableux,Maraîchage,1,7.17
63.6,27.4,17.5,4.1,Limoneux,Céréales,0,0.0
52.0,18.9,52.5,4.2,Argileux,Céréales,1,4.0
72.7,28.1,81.1,0.2,Limoneux,Céréales,1,4.0
42.9,25.0,85.1,3.4,Limoneux,Maraîchage,0,0.0
37.7,45.0,61.4,2.2,Sableux,Maraîchage,1,8.92
100.0,28.0,90.3,1.9,Limoneux,Maraîchage,0,0.0
53.7,23.3,54.2,6.3,Sableux,Céréales,0,0.0
29.2,35.9,72.2,1.2,Sableux,Céréales,1,5.62
29.7,13.1,46.9,11.6,Argileux,Céréales,0,0.0
24.3,26.7,45.7,2.1,Limoneux,Céréales,1,6.47
65.6,40.0,42.8,0.2,Limoneux,Maraîchage,1,6.65
37.0,25.2,17.9,0.3,Limoneux,Maraîchage,0,0.0
47.8,13.9,78.2,5.2,Argileux,Céréales,0,0.0
43.6,23.2,43.5,4.4,Sableux,Arboriculture,0,0.0
61.1,36.2,40.6,3.6,Limoneux,Maraîchage,0,0.0
26.4,28.6,33.8,0.3,Sableux,Arboriculture,1,13.65
21.3,20.1,51.3,3.0,Limoneux,Céréales,0,0.0
49.9,21.2,86.7,16.6,Argileux,Maraîchage,0,0.0
58.2,22.1,92.7,4.3,Limoneux,Céréales,0,0.0
52.3,28.5,25.1,0.9,Argileux,Maraîchage,1,8.55
27.2,35.4,48.6,4.5,Limoneux,Maraîchage,0,0.0
59.9,33.4,36.4,0.2,Argileux,Céréales,1,5.27
28.6,29.2,72.8,1.1,Limoneux,Céréales,1,5.6
33.5,16.7,60.2,7.2,Sableux,Arboriculture,0,0.0
24.2,16.7,43.5,4.6,Argileux,Maraîchage,1,7.78
73.6,29.7,56.3,4.5,Argileux,Arboriculture,0,0.0
58.9,16.6,46.4,3.2,Sableux,Maraîchage,0,0.0
58.3,24.4,84.1,6.1,Argileux,Maraîchage,0,0.0
72.4,28.1,64.8,1.0,Sableux,Arboriculture,0,0.0
100.0,18.0,67.1,8.3,Argileux,Arboriculture,0,0.0
7.4,18.8,10.0,4.7,Argileux,Céréales,1,8.65
28.8,25.3,53.8,0.3,Limoneux,Maraîchage,1,9.2
31.4,29.5,92.5,5.0,Argileux,Maraîchage,1,6.0
26.3,33.4,78.9,2.5,Sableux,Céréales,1,4.87
21.3,30.2,21.8,2.5,Sableux,Céréales,1,7.31
38.4,26.5,49.4,5.1,Sableux,Arboriculture,0,0.0
18.2,20.8,33.4,1.3,Limoneux,Maraîchage,1,10.72
52.4,18.5,85.8,0.2,Argileux,Maraîchage,1,6.0
46.1,22.4,59.4,9.7,Sableux,Arboriculture,1,8.0
55.6,28.9,41.2,9.7,Limoneux,Maraîchage,0,0.0
56.2,28.4,55.6,4.5,Argileux,Maraîchage,0,0.0
58.3,11.3,10.0,4.6,Sableux,Céréales,0,0.0
36.8,20.5,35.5,4.9,Argileux,Céréales,0,0.0
91.7,34.4,55.7,14.8,Sableux,Céréales,0,0.0
50.2,26.6,70.2,0.3,Argileux,Arboriculture,1,8.16
4.0,16.1,20.1,0.2,Limoneux,Arboriculture,1,18.08
22.9,42.5,48.1,1.0,Limoneux,Maraîchage,1,13.48
6.7,25.8,73.2,2.7,Sableux,Arboriculture,1,12.38
45.4,28.7,28.9,4.3,Limoneux,Céréales,0,0.0
42.3,28.8,59.1,2.2,Argileux,Maraîchage,1,7.5
34.7,23.4,56.2,3.4,Sableux,Arboriculture,0,0.0
89.2,20.9,85.9,1.8,Argileux,Maraîchage,0,0.0
57.1,40.9,50.9,1.9,Limoneux,Céréales,1,4.57
61.0,33.0,51.9,1.4,Argileux,Arboriculture,0,0.0
24.5,31.8,70.4,2.8,Limoneux,Maraîchage,1,8.83
23.0,30.0,31.1,0.4,Limoneux,Maraîchage,1,12.36
45.8,19.0,51.0,0.3,Sableux,Céréales,1,4.0
48.8,34.9,46.8,2.1,Limoneux,Arboriculture,1,9.65
4.2,20.1,52.5,1.3,Sableux,Maraîchage,0,0.0
41.0,28.0,70.3,1.3,Limoneux,Céréales,0,0.0
45.3,14.5,65.0,7.0,Sableux,Céréales,0,0.0
40.3,11.7,41.5,16.6,Limoneux,Maraîchage,0,0.0
27.1,28.2,57.5,2.9,Limoneux,Arboriculture,1,11.26
33.1,20.3,81.8,0.5,Sableux,Arboriculture,1,8.0
41.1,12.1,40.0,4.6,Argileux,Céréales,1,4.0
47.0,29.8,57.6,2.5,Limoneux,Maraîchage,0,0.0
58.3,40.8,51.5,4.3,Argileux,Maraîchage,1,6.59
68.8,35.7,53.9,3.0,Sableux,Céréales,0,0.0
38.5,24.2,25.6,0.4,Sableux,Céréales,1,5.21
35.0,26.1,80.4,3.2,Limoneux,Céréales,0,0.0
54.6,32.2,41.1,3.1,Sableux,Maraîchage,1,6.0
58.4,33.9,73.5,10.9,Sableux,Céréales,0,0.0
35.4,23.6,43.8,7.2,Limoneux,Maraîchage,0,0.0
62.4,26.2,43.7,13.0,Sableux,Arboriculture,0,0.0
66.6,28.1,76.8,8.6,Argileux,Arboriculture,0,0.0
73.4,29.9,72.9,0.4,Sableux,Céréales,1,4.0
84.1,25.1,58.8,0.2,Sableux,Maraîchage,0,0.0
25.9,25.2,68.7,6.3,Limoneux,Arboriculture,1,8.0
45.3,35.7,49.8,4.6,Argileux,Maraîchage,1,7.67
45.2,34.5,54.8,0.3,Sableux,Arboriculture,1,9.32
42.8,29.3,43.1,0.4,Sableux,Maraîchage,1,7.02
30.7,38.0,71.3,3.8,Argileux,Céréales,1,6.44
12.3,23.3,42.5,1.8,Argileux,Maraîchage,1,12.6
47.0,37.4,81.7,4.1,Limoneux,Maraîchage,1,6.0
28.1,29.8,49.3,1.3,Limoneux,Arboriculture,1,13.22
46.9,45.0,55.4,0.9,Limoneux,Arboriculture,1,12.85
27.5,17.7,68.7,9.8,Limoneux,Maraîchage,0,0.0
20.8,21.2,55.4,1.2,Limoneux,Arboriculture,0,0.0
50.2,28.9,49.6,7.2,Sableux,Maraîchage,0,0.0
48.3,28.8,54.5,1.2,Sableux,Maraîchage,0,0.0
57.7,39.7,71.1,0.0,Sableux,Maraîchage,1,6.0
93.1,21.3,43.1,0.0,Argileux,Céréales,0,0.0
51.1,32.3,52.7,2.1,Limoneux,Maraîchage,1,6.0
55.7,34.1,55.2,3.6,Limoneux,Céréales,0,0.0
21.3,30.9,70.6,0.3,Limoneux,Maraîchage,1,10.49
16.7,19.3,53.2,1.4,Argileux,Maraîchage,1,10.64
79.8,35.9,87.5,1.7,Sableux,Céréales,0,0.0
24.7,34.6,52.2,1.6,Sableux,Arboriculture,1,13.14
22.0,30.2,50.7,4.7,Sableux,Arboriculture,1,10.56
44.1,27.4,51.9,1.5,Limoneux,Céréales,1,4.37
43.0,27.6,31.3,2.6,Argileux,Maraîchage,0,0.0
25.1,25.4,36.3,2.4,Limoneux,Arboriculture,1,12.98
38.3,30.5,45.4,1.5,Limoneux,Arboriculture,1,11.35
72.0,26.2,75.4,0.4,Argileux,Arboriculture,0,0.0
27.3,20.1,54.4,1.0,Sableux,Arboriculture,0,0.0
14.3,18.7,46.3,0.0,Limoneux,Arboriculture,1,14.49
65.7,20.7,77.1,1.7,Limoneux,Arboriculture,0,0.0
55.8,27.6,82.9,3.4,Limoneux,Céréales,0,0.0
31.3,25.8,77.6,2.9,Argileux,Céréales,0,0.0
10.2,27.5,39.6,6.3,Sableux,Maraîchage,1,9.18
28.6,29.5,46.1,2.5,Argileux,Maraîchage,1,10.54
43.8,21.6,87.6,0.9,Sableux,Arboriculture,0,0.0
70.6,36.3,59.3,0.8,Limoneux,Arboriculture,1,8.0
22.2,24.1,50.2,3.9,Limoneux,Arboriculture,1,11.13
43.1,23.0,67.9,0.4,Argileux,Maraîchage,1,6.67
59.9,29.4,73.1,0.3,Limoneux,Céréales,0,0.0
2.0,13.1,44.7,9.6,Sableux,Maraîchage,0,0.0
67.7,20.5,58.9,2.0,Sableux,Arboriculture,0,0.0
19.0,32.9,71.7,1.9,Limoneux,Maraîchage,1,10.35
52.3,13.8,34.1,3.0,Argileux,Maraîchage,0,0.0
50.4,33.8,55.2,7.0,Sableux,Céréales,0,0.0
68.9,36.6,34.9,5.4,Argileux,Arboriculture,1,8.0
57.1,23.4,37.3,2.0,Limoneux,Arboriculture,0,0.0
2.0,28.0,44.9,4.0,Sableux,Maraîchage,1,11.53
27.7,33.8,63.6,2.0,Sableux,Maraîchage,1,8.32
48.0,22.7,49.2,6.8,Limoneux,Maraîchage,0,0.0
40.7,32.1,43.3,3.4,Sableux,Maraîchage,0,0.0
55.5,21.3,55.9,2.8,Sableux,Céréales,0,0.0
62.4,22.7,34.4,2.9,Limoneux,Maraîchage,0,0.0
58.4,20.4,62.7,0.4,Argileux,Maraîchage,0,0.0
40.3,28.4,75.4,7.0,Sableux,Céréales,0,0.0
4.4,34.1,53.6,9.1,Sableux,Maraîchage,1,9.12
35.0,24.7,51.4,0.6,Sableux,Maraîchage,1,6.82
54.2,17.1,61.7,0.2,Limoneux,Maraîchage,0,0.0
21.0,18.4,18.5,1.6,Argileux,Maraîchage,1,11.73
58.9,28.8,64.7,1.5,Argileux,Céréales,0,0.0
65.0,38.9,100.0,2.8,Argileux,Arboriculture,0,0.0
47.8,28.8,52.8,0.6,Argileux,Arboriculture,0,0.0
2.0,23.3,52.9,1.2,Sableux,Maraîchage,1,11.59
16.9,31.4,68.4,2.1,Sableux,Maraîchage,1,9.3
86.5,24.3,84.6,0.3,Limoneux,Céréales,0,0.0
33.0,23.4,72.5,0.6,Argileux,Céréales,1,5.34
2.0,19.3,16.2,4.2,Argileux,Arboriculture,0,0.0
72.2,35.9,65.1,0.4,Sableux,Arboriculture,0,0.0
45.3,8.2,100.0,9.2,Sableux,Céréales,0,0.0
69.3,31.6,66.2,3.3,Sableux,Maraîchage,0,0.0
51.1,22.8,34.2,6.0,Sableux,Maraîchage,0,0.0
55.1,23.1,60.1,0.6,Limoneux,Maraîchage,0,0.0
53.0,37.8,31.9,1.2,Limoneux,Maraîchage,1,8.45
60.3,21.0,77.2,5.0,Limoneux,Arboriculture,0,0.0
95.1,21.2,37.8,1.8,Sableux,Maraîchage,0,0.0
66.4,25.1,56.3,12.1,Argileux,Arboriculture,0,0.0
10.2,28.9,39.6,4.0,Limoneux,Céréales,1,7.9
54.8,22.9,45.2,13.5,Argileux,Céréales,0,0.0
70.1,15.0,81.8,0.8,Argileux,Céréales,0,0.0
71.5,19.9,56.9,8.2,Sableux,Arboriculture,0,0.0
35.6,35.0,44.9,0.5,Sableux,Maraîchage,0,0.0
70.6,26.5,34.4,5.4,Argileux,Maraîchage,0,0.0
65.4,29.2,21.3,2.6,Limoneux,Céréales,0,0.0
100.0,24.2,32.5,0.1,Sableux,Céréales,0,0.0
28.5,21.4,57.0,0.0,Limoneux,Céréales,0,0.0
33.8,37.7,72.6,3.8,Limoneux,Arboriculture,0,0.0
38.3,24.7,44.9,0.7,Argileux,Céréales,1,6.0
34.2,22.9,83.3,0.6,Sableux,Maraîchage,0,0.0
25.4,33.7,42.1,8.6,Argileux,Maraîchage,1,8.91
2.0,20.9,50.7,0.5,Argileux,Arboriculture,1,18.73
35.4,21.8,35.6,1.6,Sableux,Maraîchage,0,0.0
53.1,26.1,72.8,1.1,Sableux,Céréales,0,0.0
34.1,26.0,92.8,4.9,Limoneux,Céréales,1,4.0
87.6,27.8,23.3,6.2,Sableux,Arboriculture,0,0.0
45.3,40.6,48.8,1.7,Sableux,Arboriculture,1,10.4
73.4,28.4,77.8,4.1,Limoneux,Céréales,0,0.0
50.8,9.4,29.0,0.6,Argileux,Maraîchage,0,0.0
63.2,28.3,65.2,7.2,Argileux,Céréales,0,0.0
51.1,26.3,77.0,0.2,Sableux,Céréales,0,0.0
75.1,26.3,56.4,5.4,Argileux,Maraîchage,0,0.0
46.2,27.7,64.9,2.3,Sableux,Céréales,0,0.0
55.9,25.8,86.7,2.5,Argileux,Maraîchage,1,6.0
53.1,25.6,90.1,4.7,Argileux,Céréales,0,0.0
38.7,30.3,53.9,0.9,Argileux,Arboriculture,1,12.56
53.9,22.2,45.4,3.0,Sableux,Arboriculture,0,0.0
94.2,19.4,38.4,2.2,Argileux,Maraîchage,0,0.0
39.1,45.0,72.6,2.8,Sableux,Arboriculture,1,10.23
54.2,21.0,30.3,1.5,Limoneux,Maraîchage,1,6.0
72.7,26.7,50.5,0.3,Limoneux,Céréales,0,0.0
70.1,15.5,56.8,6.6,Sableux,Maraîchage,0,0.0
45.3,26.8,45.9,2.6,Sableux,Maraîchage,0,0.0
2.0,19.5,60.0,1.4,Argileux,Maraîchage,1,12.71
56.4,22.9,100.0,3.8,Limoneux,Maraîchage,0,0.0
2.0,33.3,52.8,0.7,Limoneux,Arboriculture,1,20.02
77.3,29.3,47.2,8.8,Limoneux,Maraîchage,0,0.0
48.7,30.0,73.3,0.3,Limoneux,Céréales,0,0.0
67.0,13.6,59.3,2.5,Argileux,Arboriculture,0,0.0
25.2,38.9,80.9,9.1,Sableux,Arboriculture,0,0.0
10.8,17.7,58.0,9.2,Argileux,Arboriculture,0,0.0
50.7,36.7,50.5,0.9,Argileux,Maraîchage,1,8.87
44.3,33.2,22.9,0.2,Limoneux,Arboriculture,1,13.42
34.2,30.0,25.8,1.6,Sableux,Céréales,0,0.0
46.9,20.0,22.0,0.6,Sableux,Maraîchage,0,0.0
100.0,27.1,61.8,1.8,Argileux,Céréales,0,0.0
63.4,22.7,30.5,0.7,Argileux,Arboriculture,0,0.0
68.1,26.2,77.6,0.1,Sableux,Céréales,1,4.0
63.6,24.3,55.5,0.9,Sableux,Maraîchage,0,0.0
77.5,11.7,50.6,9.5,Sableux,Arboriculture,0,0.0
40.8,33.9,39.8,0.4,Sableux,Arboriculture,0,0.0
2.0,25.4,66.2,1.0,Argileux,Arboriculture,1,18.28
40.9,22.6,40.5,1.6,Argileux,Arboriculture,1,10.62
62.9,22.1,37.3,3.9,Sableux,Arboriculture,0,0.0
23.7,28.5,76.4,5.5,Argileux,Céréales,1,5.16
41.1,19.7,61.4,2.5,Sableux,Maraîchage,0,0.0
29.8,10.2,50.8,9.0,Limoneux,Céréales,0,0.0
78.0,28.8,66.5,0.7,Limoneux,Maraîchage,0,0.0
61.5,29.6,55.2,6.1,Argileux,Céréales,0,0.0
59.3,24.6,61.9,1.8,Argileux,Céréales,1,4.0
58.7,18.0,40.3,4.0,Sableux,Arboriculture,0,0.0
44.2,26.6,92.3,0.4,Sableux,Maraîchage,1,6.0
49.3,15.7,44.6,2.4,Sableux,Maraîchage,0,0.0
18.9,18.8,83.0,3.2,Sableux,Arboriculture,1,8.0
2.0,20.7,51.6,4.5,Argileux,Maraîchage,1,11.81
48.3,31.9,69.5,16.1,Argileux,Céréales,0,0.0
52.1,23.5,68.2,8.0,Sableux,Arboriculture,0,0.0
71.6,22.9,75.6,1.9,Argileux,Céréales,0,0.0
79.6,39.7,39.9,1.2,Limoneux,Céréales,0,0.0
79.5,28.5,74.4,1.5,Limoneux,Arboriculture,0,0.0
23.0,28.4,88.2,10.8,Limoneux,Céréales,1,4.0
37.3,23.4,50.3,0.7,Sableux,Arboriculture,0,0.0
55.6,21.8,55.6,12.3,Argileux,Céréales,0,0.0
100.0,10.7,45.6,4.1,Sableux,Maraîchage,0,0.0
77.6,32.8,48.8,1.4,Sableux,Céréales,0,0.0
69.6,29.1,85.8,6.5,Sableux,Maraîchage,0,0.0
